date,product,category,region,sales_channel,quantity,unit_price,revenue,cost,profit
2024-01-05,USB-C Hub,Electronics,East,Retail,5,52.08,260.4,117.18,143.22
2024-01-05,Office Chair,Furniture,North,Wholesale,7,268.45,1879.15,1033.53,845.62
2024-01-05,Water Purifier,Appliances,South,Wholesale,2,339.26,678.52,373.19,305.33
2024-01-05,Headset Pro,Accessories,Central,Retail,10,96.29,962.9,462.19,500.71
2024-01-06,Coffee Machine,Appliances,West,B2B,16,211.75,3388.0,1761.76,1626.24
2024-01-06,Printer Paper,Stationery,East,Retail,4,21.21,84.84,21.21,63.63
2024-01-07,Office Chair,Furniture,North,,3,161.19,483.57,265.96,217.61
2024-01-07,Webcam HD,Accessories,West,Retail,8,46.84,374.72,157.38,217.34
2024-01-07,Coffee Machine,Appliances,East,B2B,7,270.97,1896.79,986.33,910.46
2024-01-07,Coffee Machine,Appliances,Central,B2B,16,304.68,4874.88,2534.94,2339.94
2024-01-07,Mechanical Keyboard,Electronics,South,B2B,8,133.94,1071.52,535.76,535.76
2024-01-07,Monitor 27inch,Electronics,North,B2B,12,322.8,3873.6,2324.16,1549.44
2024-01-08,USB-C Hub,Electronics,North,Wholesale,12,61.53,738.36,332.26,406.1
2024-01-08,Headset Pro,Accessories,North,Retail,1,132.76,132.76,63.72,69.04
2024-01-08,Whiteboard,Stationery,North,B2B,5,54.26,271.3,108.52,162.78
2024-01-08,Desk Lamp,Furniture,Central,Wholesale,3,23.4,70.2,24.57,45.63
2024-01-08,Monitor 27inch,Electronics,North,Wholesale,7,382.47,2677.29,1606.37,1070.92
2024-01-08,Mechanical Keyboard,Electronics,Central,Retail,12,64.66,775.92,387.96,387.96
2024-01-08,Mechanical Keyboard,Electronics,East,Online,3,82.26,246.78,123.39,123.39
2024-01-08,Wireless Mouse,Electronics,Central,Wholesale,10,35.83,358.3,143.32,214.98
2024-01-08,Notebook Pack,Stationery,West,Online,13,12.01,156.13,46.84,109.29
2024-01-08,Standing Desk,Furniture,South,Wholesale,18,574.24,10336.32,5995.07,4341.25
2024-01-08,Monitor 27inch,Electronics,North,Wholesale,8,440.18,3521.44,2112.86,1408.58
2024-01-09,Monitor 27inch,Electronics,South,Retail,3,443.12,1329.36,797.62,531.74
2024-01-09,Office Chair,Furniture,South,Wholesale,9,365.32,3287.88,1808.33,1479.55
2024-01-09,Standing Desk,Furniture,West,Wholesale,4,546.64,2186.56,1268.2,918.36
2024-01-09,Headset Pro,Accessories,Central,Retail,10,119.58,1195.8,573.98,621.82
2024-01-09,Standing Desk,Furniture,Central,Online,16,538.66,8618.56,4998.76,3619.8
2024-01-09,Laptop Pro,Electronics,West,Retail,12,1131.5,13578.0,8825.7,4752.3
2024-01-09,Coffee Machine,Appliances,West,Retail,13,338.36,4398.68,2287.31,2111.37
2024-01-09,Laptop Pro,Electronics,East,Wholesale,11,1471.85,16190.35,10523.73,5666.62
2024-01-10,Laptop Pro,Electronics,East,Online,17,985.73,16757.41,10892.32,5865.09
2024-01-10,Office Chair,Furniture,South,,3,174.87,524.61,288.54,236.07
2024-01-10,Headset Pro,Accessories,North,Retail,4,59.51,238.04,114.26,123.78
2024-01-10,Wireless Mouse,Electronics,East,Retail,15,42.13,631.95,252.78,379.17
2024-01-10,Printer Paper,Stationery,West,Online,14,13.3,186.2,46.55,139.65
2024-01-11,Water Purifier,Appliances,South,Wholesale,7,171.19,1198.33,659.08,539.25
2024-01-11,Printer Paper,Stationery,North,Retail,9,19.84,178.56,44.64,133.92
2024-01-11,Wireless Mouse,Electronics,South,Online,4,28.45,113.8,45.52,68.28
2024-01-11,USB-C Hub,Electronics,North,Retail,16,28.2,451.2,203.04,248.16
2024-01-12,Mechanical Keyboard,Electronics,West,Online,13,93.03,1209.39,604.7,604.69
2024-01-12,Laptop Pro,Electronics,South,Online,12,1197.66,14371.92,9341.75,5030.17
2024-01-12,Headset Pro,Accessories,North,Wholesale,18,147.54,2655.72,1274.75,1380.97
2024-01-12,Mechanical Keyboard,Electronics,East,B2B,13,94.02,1222.26,611.13,611.13
2024-01-12,Webcam HD,Accessories,West,Retail,8,69.05,552.4,232.01,320.39
2024-01-12,Coffee Machine,Appliances,North,Wholesale,11,104.56,1150.16,598.08,552.08
2024-01-12,Standing Desk,Furniture,South,Retail,8,680.16,5441.28,3155.94,2285.34
2024-01-12,Office Chair,Furniture,South,B2B,12,249.29,2991.48,1645.31,1346.17
2024-01-12,Wireless Mouse,Electronics,West,Wholesale,8,16.58,132.64,53.06,79.58
2024-01-12,Monitor 27inch,Electronics,North,,8,349.34,2794.72,1676.83,1117.89
2024-01-12,Desk Lamp,Furniture,Central,B2B,10,57.46,574.6,201.11,373.49
2024-01-12,Webcam HD,Accessories,South,Retail,10,66.53,665.3,279.43,385.87
2024-01-13,Headset Pro,Accessories,South,Retail,12,79.9,958.8,460.22,498.58
2024-01-13,Headset Pro,Accessories,North,Wholesale,12,143.99,1727.88,829.38,898.5
2024-01-13,Notebook Pack,Stationery,East,Retail,14,10.97,153.58,46.07,107.51
2024-01-13,Water Purifier,Appliances,West,Wholesale,17,324.66,5519.22,3035.57,2483.65
2024-01-13,Standing Desk,Furniture,East,Online,15,545.25,8178.75,4743.67,3435.08
2024-01-14,USB-C Hub,Electronics,Central,Online,8,58.98,471.84,212.33,259.51
2024-01-14,Laptop Pro,Electronics,South,Retail,5,1382.75,6913.75,4493.94,2419.81
2024-01-14,Coffee Machine,Appliances,North,Online,16,181.68,2906.88,1511.58,1395.3
2024-01-14,Desk Lamp,Furniture,East,Online,17,32.38,550.46,192.66,357.8
2024-01-14,Webcam HD,Accessories,Central,Retail,19,96.65,1836.35,771.27,1065.08
2024-01-14,Monitor 27inch,Electronics,South,B2B,2,348.34,696.68,418.01,278.67
2024-01-14,Water Purifier,Appliances,North,Online,14,328.49,4598.86,2529.37,2069.49
2024-01-14,Monitor 27inch,Electronics,West,Retail,1,439.67,439.67,263.8,175.87
2024-01-14,Office Chair,Furniture,East,Wholesale,14,246.35,3448.9,1896.9,1552.0
2024-01-14,Office Chair,Furniture,South,Online,8,387.3,3098.4,1704.12,1394.28
2024-01-14,Notebook Pack,Stationery,South,Wholesale,15,17.99,269.85,80.95,188.9
2024-01-14,Laptop Pro,Electronics,East,Wholesale,4,1165.35,4661.4,3029.91,1631.49
2024-01-15,Desk Lamp,Furniture,Central,Wholesale,18,35.09,631.62,221.07,410.55
2024-01-15,Whiteboard,Stationery,South,Retail,11,33.55,369.05,147.62,221.43
2024-01-15,Laptop Pro,Electronics,East,Retail,9,1427.9,12851.1,8353.22,4497.88
2024-01-15,Printer Paper,Stationery,West,Retail,8,9.46,75.68,18.92,56.76
2024-01-15,Office Chair,Furniture,East,Online,2,232.7,465.4,255.97,209.43
2024-01-15,Monitor 27inch,Electronics,Central,Retail,10,268.64,2686.4,1611.84,1074.56
2024-01-15,Monitor 27inch,Electronics,East,Online,12,327.42,3929.04,2357.42,1571.62
2024-01-15,Wireless Mouse,Electronics,Central,Online,14,24.14,337.96,135.18,202.78
2024-01-16,Webcam HD,Accessories,South,Online,10,119.57,1195.7,502.19,693.51
2024-01-16,Printer Paper,Stationery,East,B2B,1,20.13,20.13,5.03,15.1
2024-01-16,Whiteboard,Stationery,North,Online,9,64.49,580.41,232.16,348.25
2024-01-16,Coffee Machine,Appliances,South,B2B,18,119.15,2144.7,1115.24,1029.46
2024-01-16,Office Chair,Furniture,East,Wholesale,6,387.9,2327.4,1280.07,1047.33
2024-01-16,Headset Pro,Accessories,North,B2B,16,104.5,1672.0,802.56,869.44
2024-01-16,Headset Pro,Accessories,East,B2B,12,175.47,2105.64,1010.71,1094.93
2024-01-16,Wireless Mouse,Electronics,South,Wholesale,4,40.02,160.08,64.03,96.05
2024-01-16,Headset Pro,Accessories,South,Retail,1,112.66,112.66,54.08,58.58
2024-01-16,Headset Pro,Accessories,South,B2B,13,88.01,1144.13,549.18,594.95
2024-01-17,Office Chair,Furniture,North,B2B,6,235.37,1412.22,776.72,635.5
2024-01-17,Wireless Mouse,Electronics,South,B2B,5,16.95,84.75,33.9,50.85
2024-01-17,Notebook Pack,Stationery,North,B2B,8,15.36,122.88,36.86,86.02
2024-01-17,Whiteboard,Stationery,East,B2B,6,46.08,276.48,110.59,165.89
2024-01-18,Wireless Mouse,Electronics,East,Online,12,28.31,339.72,135.89,203.83
2024-01-18,Coffee Machine,Appliances,North,B2B,1,293.88,293.88,152.82,141.06
2024-01-18,Headset Pro,Accessories,East,B2B,12,109.78,1317.36,632.33,685.03
2024-01-18,Notebook Pack,Stationery,North,B2B,4,10.66,42.64,12.79,29.85
2024-01-18,Monitor 27inch,Electronics,North,Online,14,263.93,3695.02,2217.01,1478.01
2024-01-19,Mechanical Keyboard,Electronics,East,Retail,1,125.8,125.8,62.9,62.9
2024-01-19,Water Purifier,Appliances,South,B2B,18,322.22,5799.96,3189.98,2609.98
2024-01-19,Office Chair,Furniture,East,Wholesale,1,272.85,272.85,150.07,122.78
2024-01-19,Wireless Mouse,Electronics,East,Retail,4,27.68,110.72,44.29,66.43
2024-01-19,Webcam HD,Accessories,East,B2B,13,44.28,575.64,241.77,333.87
2024-01-19,Coffee Machine,Appliances,Central,B2B,8,111.01,888.08,461.8,426.28
2024-01-19,Water Purifier,Appliances,West,Retail,17,233.11,3962.87,2179.58,1783.29
2024-01-19,Whiteboard,Stationery,West,Wholesale,10,40.07,400.7,160.28,240.42
2024-01-20,Printer Paper,Stationery,East,,1,23.89,23.89,5.97,17.92
2024-01-20,USB-C Hub,Electronics,East,Retail,8,62.42,499.36,224.71,274.65
2024-01-20,Monitor 27inch,Electronics,South,Retail,1,280.53,280.53,168.32,112.21
2024-01-20,Desk Lamp,Furniture,East,Wholesale,8,50.25,402.0,140.7,261.3
2024-01-20,Webcam HD,Accessories,West,Wholesale,2,83.68,167.36,70.29,97.07
2024-01-20,Monitor 27inch,Electronics,South,Retail,7,469.27,3284.89,1970.93,1313.96
2024-01-21,Webcam HD,Accessories,South,Wholesale,8,79.83,638.64,268.23,370.41
2024-01-21,Webcam HD,Accessories,Central,Retail,13,119.21,1549.73,650.89,898.84
2024-01-21,Office Chair,Furniture,South,Online,14,232.19,3250.66,1787.86,1462.8
2024-01-21,Notebook Pack,Stationery,East,Wholesale,18,11.46,206.28,61.88,144.4
2024-01-21,Headset Pro,Accessories,East,Retail,8,101.67,813.36,390.41,422.95
2024-01-21,Office Chair,Furniture,Central,B2B,12,208.95,2507.4,1379.07,1128.33
2024-01-21,Desk Lamp,Furniture,North,Wholesale,4,26.13,104.52,36.58,67.94
2024-01-21,Coffee Machine,Appliances,East,Online,12,204.93,2459.16,1278.76,1180.4
2024-01-21,Printer Paper,Stationery,South,,15,20.05,300.75,75.19,225.56
2024-01-21,Mechanical Keyboard,Electronics,West,Online,7,82.95,580.65,290.32,290.33
2024-01-21,Notebook Pack,Stationery,North,Online,8,15.85,126.8,38.04,88.76
2024-01-21,Coffee Machine,Appliances,North,Retail,5,343.61,1718.05,893.39,824.66
2024-01-21,Printer Paper,Stationery,North,Wholesale,13,8.05,104.65,26.16,78.49
2024-01-22,Headset Pro,Accessories,Central,B2B,8,154.68,1237.44,593.97,643.47
2024-01-22,USB-C Hub,Electronics,West,Online,12,70.15,841.8,378.81,462.99
2024-01-22,Printer Paper,Stationery,Central,Online,2,23.22,46.44,11.61,34.83
2024-01-22,Wireless Mouse,Electronics,West,Online,8,23.2,185.6,74.24,111.36
2024-01-22,Laptop Pro,Electronics,South,Wholesale,19,832.02,15808.38,10275.45,5532.93
2024-01-22,Whiteboard,Stationery,North,Retail,11,69.24,761.64,304.66,456.98
2024-01-22,Water Purifier,Appliances,East,Wholesale,2,160.19,320.38,176.21,144.17
2024-01-23,Office Chair,Furniture,East,B2B,4,331.53,1326.12,729.37,596.75
2024-01-23,Whiteboard,Stationery,Central,Online,16,60.95,975.2,390.08,585.12
2024-01-23,USB-C Hub,Electronics,Central,Online,7,39.83,278.81,125.46,153.35
2024-01-23,Wireless Mouse,Electronics,South,Retail,17,27.14,461.38,184.55,276.83
2024-01-23,Desk Lamp,Furniture,Central,Wholesale,5,33.06,165.3,57.85,107.45
2024-01-23,Mechanical Keyboard,Electronics,West,B2B,12,95.36,1144.32,572.16,572.16
2024-01-23,USB-C Hub,Electronics,North,Online,10,52.64,526.4,236.88,289.52
2024-01-24,USB-C Hub,Electronics,South,Wholesale,12,58.71,704.52,317.03,387.49
2024-01-24,Office Chair,Furniture,North,B2B,8,305.46,2443.68,1344.02,1099.66
2024-01-24,Printer Paper,Stationery,South,Wholesale,19,13.76,261.44,65.36,196.08
2024-01-24,Whiteboard,Stationery,North,B2B,12,68.35,820.2,328.08,492.12
2024-01-25,Office Chair,Furniture,North,Retail,12,223.94,2687.28,1478.0,1209.28
2024-01-25,Notebook Pack,Stationery,East,Wholesale,8,16.88,135.04,40.51,94.53
2024-01-25,Office Chair,Furniture,South,Online,11,189.91,2089.01,1148.96,940.05
2024-01-25,Wireless Mouse,Electronics,South,Wholesale,3,25.65,76.95,30.78,46.17
2024-01-25,Water Purifier,Appliances,South,B2B,16,399.65,6394.4,3516.92,2877.48
2024-01-25,Office Chair,Furniture,Central,Retail,7,232.21,1625.47,894.01,731.46
2024-01-25,Webcam HD,Accessories,West,Retail,10,69.4,694.0,291.48,402.52
2024-01-25,USB-C Hub,Electronics,West,Wholesale,9,57.62,518.58,233.36,285.22
2024-01-25,Headset Pro,Accessories,West,Wholesale,5,61.39,306.95,147.34,159.61
2024-01-25,Headset Pro,Accessories,Central,B2B,4,71.42,285.68,137.13,148.55
2024-01-26,Wireless Mouse,Electronics,North,Retail,7,34.4,240.8,96.32,144.48
2024-01-26,Coffee Machine,Appliances,East,Wholesale,11,270.83,2979.13,1549.15,1429.98
2024-01-26,Monitor 27inch,Electronics,South,Wholesale,12,368.9,4426.8,2656.08,1770.72
2024-01-26,Webcam HD,Accessories,East,Wholesale,16,85.71,1371.36,575.97,795.39
2024-01-26,USB-C Hub,Electronics,Central,Retail,8,50.62,404.96,182.23,222.73
2024-01-26,Laptop Pro,Electronics,Central,Wholesale,16,1267.05,20272.8,13177.32,7095.48
2024-01-26,Coffee Machine,Appliances,South,Online,8,123.46,987.68,513.59,474.09
2024-01-27,Laptop Pro,Electronics,Central,B2B,1,1045.05,1045.05,679.28,365.77
2024-01-27,Water Purifier,Appliances,East,Wholesale,11,282.59,3108.49,1709.67,1398.82
2024-01-27,Water Purifier,Appliances,South,B2B,6,166.02,996.12,547.87,448.25
2024-01-27,Webcam HD,Accessories,South,B2B,4,47.17,188.68,79.25,109.43
2024-01-27,Notebook Pack,Stationery,Central,Retail,18,17.42,313.56,94.07,219.49
2024-01-27,Coffee Machine,Appliances,West,Retail,4,227.88,911.52,473.99,437.53
2024-01-27,Water Purifier,Appliances,North,Retail,1,212.34,212.34,116.79,95.55
2024-01-27,Whiteboard,Stationery,East,Online,14,76.94,1077.16,430.86,646.3
2024-01-27,USB-C Hub,Electronics,West,Online,14,57.72,808.08,363.64,444.44
2024-01-28,Monitor 27inch,Electronics,Central,B2B,3,409.03,1227.09,736.25,490.84
2024-01-28,Notebook Pack,Stationery,North,Retail,17,6.11,103.87,31.16,72.71
2024-01-28,Desk Lamp,Furniture,North,Wholesale,9,27.46,247.14,86.5,160.64
2024-01-28,Notebook Pack,Stationery,North,Retail,4,14.67,58.68,17.6,41.08
2024-01-28,Water Purifier,Appliances,West,Retail,5,362.51,1812.55,996.9,815.65
2024-01-28,Water Purifier,Appliances,East,Retail,1,304.9,304.9,167.69,137.21
2024-01-28,Notebook Pack,Stationery,North,B2B,16,8.86,141.76,42.53,99.23
2024-01-28,Whiteboard,Stationery,East,Online,16,32.43,518.88,207.55,311.33
2024-01-28,Standing Desk,Furniture,West,Retail,8,669.72,5357.76,3107.5,2250.26
2024-01-29,Whiteboard,Stationery,Central,Retail,14,66.05,924.7,369.88,554.82
2024-01-29,Printer Paper,Stationery,West,B2B,12,10.26,123.12,30.78,92.34
2024-01-29,Whiteboard,Stationery,North,Wholesale,5,58.84,294.2,117.68,176.52
2024-01-29,Laptop Pro,Electronics,South,Wholesale,4,887.23,3548.92,2306.8,1242.12
2024-01-29,Webcam HD,Accessories,North,B2B,11,114.75,1262.25,530.14,732.11
2024-01-29,Wireless Mouse,Electronics,North,Retail,13,27.06,351.78,140.71,211.07
2024-01-29,Water Purifier,Appliances,East,Wholesale,1,389.95,389.95,214.47,175.48
2024-01-29,Wireless Mouse,Electronics,West,Online,8,41.57,332.56,133.02,199.54
2024-01-30,Laptop Pro,Electronics,South,Wholesale,8,1415.58,11324.64,7361.02,3963.62
2024-01-30,Standing Desk,Furniture,West,B2B,8,512.92,4103.36,2379.95,1723.41
2024-01-30,Monitor 27inch,Electronics,North,Retail,16,260.78,4172.48,2503.49,1668.99
2024-01-30,Wireless Mouse,Electronics,South,B2B,3,19.29,57.87,23.15,34.72
2024-01-30,Monitor 27inch,Electronics,South,Online,16,318.98,5103.68,3062.21,2041.47
2024-01-30,Water Purifier,Appliances,Central,Retail,10,234.38,2343.8,1289.09,1054.71
2024-01-30,Mechanical Keyboard,Electronics,Central,Online,10,67.45,674.5,337.25,337.25
2024-01-31,Headset Pro,Accessories,Central,Retail,8,71.46,571.68,274.41,297.27
2024-01-31,Desk Lamp,Furniture,West,B2B,16,27.22,435.52,152.43,283.09
2024-01-31,Office Chair,Furniture,North,Online,4,296.66,1186.64,652.65,533.99
2024-02-01,Office Chair,Furniture,West,B2B,18,156.24,2812.32,1546.78,1265.54
2024-02-01,Monitor 27inch,Electronics,South,Online,8,485.12,3880.96,2328.58,1552.38
2024-02-01,Standing Desk,Furniture,South,Online,7,375.35,2627.45,1523.92,1103.53
2024-02-01,Mechanical Keyboard,Electronics,East,Retail,19,97.79,1858.01,929.0,929.01
2024-02-01,Coffee Machine,Appliances,West,Wholesale,7,335.1,2345.7,1219.76,1125.94
2024-02-01,Printer Paper,Stationery,West,Retail,1,15.09,15.09,3.77,11.32
2024-02-01,Whiteboard,Stationery,Central,B2B,4,78.17,312.68,125.07,187.61
2024-02-01,Mechanical Keyboard,Electronics,South,Online,12,128.34,1540.08,770.04,770.04
2024-02-01,Wireless Mouse,Electronics,East,Retail,6,39.63,237.78,95.11,142.67
2024-02-02,Monitor 27inch,Electronics,South,Retail,12,342.7,4112.4,2467.44,1644.96
2024-02-02,Headset Pro,Accessories,Central,Retail,7,59.93,419.51,201.36,218.15
2024-02-02,Water Purifier,Appliances,East,Wholesale,17,312.65,5315.05,2923.28,2391.77
2024-02-02,Notebook Pack,Stationery,Central,Online,14,11.49,160.86,48.26,112.6
2024-02-03,Whiteboard,Stationery,North,Online,6,31.11,186.66,74.66,112.0
2024-02-03,Water Purifier,Appliances,Central,Online,5,260.98,1304.9,717.7,587.2
2024-02-03,Water Purifier,Appliances,East,Wholesale,19,177.04,3363.76,1850.07,1513.69
2024-02-03,Laptop Pro,Electronics,South,Wholesale,10,972.56,9725.6,6321.64,3403.96
2024-02-03,Water Purifier,Appliances,West,B2B,3,181.55,544.65,299.56,245.09
2024-02-03,Office Chair,Furniture,North,Wholesale,12,200.77,2409.24,1325.08,1084.16
2024-02-03,Coffee Machine,Appliances,East,Retail,13,201.31,2617.03,1360.86,1256.17
2024-02-04,Headset Pro,Accessories,North,B2B,1,79.44,79.44,38.13,41.31
2024-02-04,Standing Desk,Furniture,West,Retail,1,632.07,632.07,366.6,265.47
2024-02-04,Notebook Pack,Stationery,South,Retail,18,11.66,209.88,62.96,146.92
2024-02-04,Headset Pro,Accessories,West,B2B,8,112.76,902.08,433.0,469.08
2024-02-04,Wireless Mouse,Electronics,East,Online,17,15.92,270.64,108.26,162.38
2024-02-05,Office Chair,Furniture,South,Retail,11,302.33,3325.63,1829.1,1496.53
2024-02-05,Coffee Machine,Appliances,North,Wholesale,12,239.19,2870.28,1492.55,1377.73
2024-02-05,Mechanical Keyboard,Electronics,Central,Retail,16,141.44,2263.04,1131.52,1131.52
2024-02-05,Office Chair,Furniture,East,B2B,16,270.89,4334.24,2383.83,1950.41
2024-02-05,USB-C Hub,Electronics,East,Wholesale,4,33.51,134.04,60.32,73.72
2024-02-05,Desk Lamp,Furniture,North,B2B,13,34.36,446.68,156.34,290.34
2024-02-05,Printer Paper,Stationery,East,Online,18,11.54,207.72,51.93,155.79
2024-02-05,Water Purifier,Appliances,East,Online,10,198.57,1985.7,1092.14,893.56
2024-02-05,Laptop Pro,Electronics,North,Online,18,873.26,15718.68,10217.14,5501.54
2024-02-06,Office Chair,Furniture,Central,Retail,3,327.2,981.6,539.88,441.72
2024-02-06,Printer Paper,Stationery,South,Retail,14,13.74,192.36,48.09,144.27
2024-02-06,Laptop Pro,Electronics,Central,Retail,9,1100.3,9902.7,6436.76,3465.94
2024-02-06,USB-C Hub,Electronics,South,Retail,7,57.95,405.65,182.54,223.11
2024-02-07,Standing Desk,Furniture,Central,B2B,15,565.22,8478.3,4917.41,3560.89
2024-02-07,Water Purifier,Appliances,West,Online,16,336.68,5386.88,2962.78,2424.1
2024-02-07,Monitor 27inch,Electronics,Central,Wholesale,6,423.93,2543.58,1526.15,1017.43
2024-02-07,Headset Pro,Accessories,Central,Online,16,152.67,2442.72,1172.51,1270.21
2024-02-07,Monitor 27inch,Electronics,South,Online,8,454.64,3637.12,2182.27,1454.85
2024-02-07,Notebook Pack,Stationery,East,B2B,1,13.37,13.37,4.01,9.36
2024-02-08,Standing Desk,Furniture,Central,B2B,1,470.56,470.56,272.92,197.64
2024-02-08,Laptop Pro,Electronics,South,Online,2,981.27,1962.54,1275.65,686.89
2024-02-08,Laptop Pro,Electronics,South,B2B,8,1071.53,8572.24,5571.96,3000.28
2024-02-08,Monitor 27inch,Electronics,Central,Online,7,457.11,3199.77,1919.86,1279.91
2024-02-08,Notebook Pack,Stationery,Central,B2B,4,7.23,28.92,8.68,20.24
2024-02-09,Monitor 27inch,Electronics,North,B2B,18,342.39,6163.02,3697.81,2465.21
2024-02-09,USB-C Hub,Electronics,East,B2B,2,40.05,80.1,36.05,44.05
2024-02-09,Notebook Pack,Stationery,North,Online,17,13.52,229.84,68.95,160.89
2024-02-09,Headset Pro,Accessories,South,B2B,6,184.03,1104.18,530.01,574.17
2024-02-09,Water Purifier,Appliances,East,Online,10,365.98,3659.8,2012.89,1646.91
2024-02-09,Desk Lamp,Furniture,East,Retail,10,28.6,286.0,100.1,185.9
2024-02-09,Notebook Pack,Stationery,West,Wholesale,5,12.34,61.7,18.51,43.19
2024-02-09,Notebook Pack,Stationery,North,B2B,4,16.03,64.12,19.24,44.88
2024-02-10,Office Chair,Furniture,North,Retail,5,331.55,1657.75,911.76,745.99
2024-02-10,Printer Paper,Stationery,East,Retail,10,17.27,172.7,43.17,129.53
2024-02-10,Laptop Pro,Electronics,East,B2B,8,1290.61,10324.88,6711.17,3613.71
2024-02-10,Notebook Pack,Stationery,North,Retail,7,12.87,90.09,27.03,63.06
2024-02-10,Notebook Pack,Stationery,Central,Online,9,12.36,111.24,33.37,77.87
2024-02-10,USB-C Hub,Electronics,Central,Retail,18,40.94,736.92,331.61,405.31
2024-02-11,Water Purifier,Appliances,Central,B2B,3,274.52,823.56,452.96,370.6
2024-02-11,Desk Lamp,Furniture,West,B2B,5,59.84,299.2,104.72,194.48
2024-02-11,Notebook Pack,Stationery,West,B2B,18,10.42,187.56,56.27,131.29
2024-02-11,Wireless Mouse,Electronics,West,Wholesale,16,28.02,448.32,179.33,268.99
2024-02-11,Whiteboard,Stationery,East,Online,15,64.26,963.9,385.56,578.34
2024-02-11,Standing Desk,Furniture,East,Retail,12,331.94,3983.28,2310.3,1672.98
2024-02-11,Mechanical Keyboard,Electronics,South,B2B,8,63.74,509.92,254.96,254.96
2024-02-11,Printer Paper,Stationery,South,Online,2,18.1,36.2,9.05,27.15
2024-02-11,Wireless Mouse,Electronics,North,B2B,1,31.93,31.93,12.77,19.16
2024-02-11,Wireless Mouse,Electronics,Central,B2B,7,20.37,142.59,57.04,85.55
2024-02-12,Wireless Mouse,Electronics,East,Wholesale,1,27.59,27.59,11.04,16.55
2024-02-12,Mechanical Keyboard,Electronics,East,Wholesale,1,118.52,118.52,59.26,59.26
2024-02-12,Webcam HD,Accessories,East,Wholesale,12,83.95,1007.4,423.11,584.29
2024-02-12,Whiteboard,Stationery,West,,14,38.84,543.76,217.5,326.26
2024-02-12,Laptop Pro,Electronics,West,B2B,5,855.43,4277.15,2780.15,1497.0
2024-02-12,Printer Paper,Stationery,South,Online,15,14.96,224.4,56.1,168.3
2024-02-12,Laptop Pro,Electronics,Central,Retail,6,1098.28,6589.68,4283.29,2306.39
2024-02-12,Standing Desk,Furniture,East,Wholesale,9,409.58,3686.22,2138.01,1548.21
2024-02-12,Webcam HD,Accessories,East,Online,4,87.07,348.28,146.28,202.0
2024-02-12,Mechanical Keyboard,Electronics,North,Wholesale,5,88.85,444.25,222.12,222.13
2024-02-12,Laptop Pro,Electronics,Central,B2B,16,887.07,14193.12,9225.53,4967.59
2024-02-12,Printer Paper,Stationery,East,Retail,15,11.84,177.6,44.4,133.2
2024-02-12,Desk Lamp,Furniture,Central,,16,34.05,544.8,190.68,354.12
2024-02-13,Monitor 27inch,Electronics,North,B2B,1,426.56,426.56,255.94,170.62
2024-02-13,Headset Pro,Accessories,North,B2B,15,194.11,2911.65,1397.59,1514.06
2024-02-13,Office Chair,Furniture,North,B2B,6,350.42,2102.52,1156.39,946.13
